airline_key,airline_id,airline_code,airline_name,airline_country,active_status,has_non_codeshare_routes,has_all_listed_routes,route_presence_count,dashboard_comparison_eligible,comparison_threshold_20,comparison_threshold_50,comparison_threshold_100,dashboard_default_eligible
id:1287,1287,R3,Aircompany Yakutia,Russia,Y,True,True,73,True,True,True,False,True
id:1290,1290,VW,Aeromar,Mexico,Y,True,True,42,False,True,False,False,False
id:12978,12978,PN,West Air China,China,Y,True,True,90,True,True,True,False,True
id:1299,1299,OR,Arkefly,Netherlands,Y,True,True,24,False,True,False,False,False
id:130,130,SU,Aeroflot Russian Airlines,Russia,Y,True,True,448,True,True,True,True,True
id:1308,1308,CG,Airlines PNG,Papua New Guinea,Y,True,True,73,True,True,True,False,True
id:13088,13088,Y7,NordStar Airlines,Russia,Y,True,True,74,True,True,True,False,True
id:13108,13108,Q2,Maldivian,Maldives,Y,True,True,28,False,True,False,False,False
id:1316,1316,FL,AirTran Airways,United States,Y,True,True,169,True,True,True,True,True
id:1317,1317,TS,Air Transat,Canada,Y,True,True,107,True,True,True,True,True
id:132,132,JA,Air Bosna,Bosnia and Herzegovina,Y,True,True,10,False,False,False,False,False
id:13200,13200,JH,Fuji Dream Airlines,Japan,Y,True,True,18,False,False,False,False,False
id:13335,13335,MR,Homer Air,Germany,Y,True,True,19,False,False,False,False,False
id:1338,1338,2K,Aerolineas Galapagos (Aerogal),Ecuador,Y,True,True,12,False,False,False,False,False
id:1340,1340,6R,Alrosa Mirny Air Enterprise,Russia,Y,True,True,30,False,True,False,False,False
id:1355,1355,BA,British Airways,United Kingdom,Y,True,True,370,True,True,True,True,True
id:1359,1359,BG,Biman Bangladesh Airlines,Bangladesh,Y,True,True,46,False,True,False,False,False
id:137,137,AF,Air France,France,Y,True,True,450,True,True,True,True,True
id:13704,13704,KY,KSY,Greece,Y,True,True,50,True,True,True,False,True
id:13757,13757,WU,Wizz Air Ukraine,Ukraine,Y,True,True,42,False,True,False,False,False
id:13899,13899,K6,Cambodia Angkor Air (K6),Cambodia,Y,True,True,22,False,True,False,False,False
id:139,139,SB,Air Caledonie International,France,Y,True,True,22,False,True,False,False,False
id:1392,1392,A8,Benin Golf Air,Benin,N,True,True,2,False,False,False,False,False
id:13983,13983,AD,Azul,Brazil,Y,True,True,391,True,True,True,True,True
id:1401,1401,4T,Belair Airlines,Switzerland,Y,True,True,12,False,False,False,False,False
id:1403,1403,UP,Bahamasair,Bahamas,Y,True,True,58,True,True,True,False,True
id:14061,14061,PQ,LSM Airlines,Russia,Y,True,True,6,False,False,False,False,False
id:14118,14118,GK,Genesis,Pakistan,Y,True,True,28,False,True,False,False,False
id:1422,1422,PG,Bangkok Airways,Thailand,Y,True,True,63,True,True,True,False,True
id:1434,1434,JV,Bearskin Lake Air Service,Canada,Y,True,True,39,False,True,False,False,False
id:1441,1441,WW,bmibaby,United Kingdom,Y,True,True,10,False,False,False,False,False
id:14485,14485,FZ,Fly Dubai,United Arab Emirates,Y,True,True,146,True,True,True,True,True
id:146,146,2O,Air Salone,Sierra Leone,Y,True,True,2,False,False,False,False,False
id:1463,1463,BV,Blue Panorama Airlines,Italy,Y,True,True,49,False,True,False,False,False
id:1469,1469,7R,BRA-Transportes Aereos,Brazil,N,True,True,72,True,True,True,False,True
id:1472,1472,8E,Bering Air,United States,Y,True,True,65,True,True,True,False,True
id:1478,1478,B2,Belavia Belarusian Airlines,Belarus,Y,True,True,80,True,True,True,False,True
id:14849,14849,JY,Aereonautica militare,Italy,Y,True,True,28,False,True,False,False,False
id:1492,1492,GQ,Big Sky Airlines,United States,N,True,True,36,False,True,False,False,False
id:1500,1500,7P,Metro Batavia,Indonesia,Y,True,True,12,False,False,False,False,False
id:1508,1508,J8,Berjaya Air,Malaysia,Y,True,True,4,False,False,False,False,False
id:153,153,SW,Air Namibia,Namibia,Y,True,True,35,False,True,False,False,False
id:1531,1531,SN,Brussels Airlines,Belgium,Y,True,True,138,True,True,True,True,True
id:1539,1539,NT,Binter Canarias,Spain,Y,True,True,30,False,True,False,False,False
id:1548,1548,FB,Bulgaria Air,Bulgaria,Y,True,True,56,True,True,True,False,True
id:1581,1581,5C,CAL Cargo Air Lines,Israel,Y,True,True,29,False,True,False,False,False
id:15814,15814,UR,UTair-Express,Russia,Y,True,True,74,True,True,True,False,True
id:15837,15837,G5,Huaxia,China,Y,True,True,90,True,True,True,False,True
id:15893,15893,M4,Marysya Airlines,Russia,Y,True,True,19,False,False,False,False,False
id:15999,15999,9C,China SSS,China,Y,True,True,155,True,True,True,True,True
id:1611,1611,UY,Cameroon Airlines,Cameroon,N,True,True,4,False,False,False,False,False
id:16120,16120,Z6,ZABAIKAL AIRLINES,Russia,Y,False,True,0,False,False,False,False,False
id:16133,16133,YT,Yeti Airways,Nepal,Y,True,True,16,False,False,False,False,False
id:16136,16136,NS,Caucasus Airlines,Georgia,Y,True,True,62,True,True,True,False,True
id:16149,16149,WM,Windward Islands Airways,Netherlands Antilles,Y,True,True,25,False,True,False,False,False
id:16150,16150,YO,TransHolding System,Brazil,Y,False,True,0,False,False,False,False,False
id:1623,1623,5T,Canadian North,Canada,Y,True,True,44,False,True,False,False,False
id:16262,16262,3F,Fly Colombia ( Interliging Flights ),Colombia,Y,True,True,2,False,False,False,False,False
id:1629,1629,9K,Cape Air,United States,Y,True,True,84,True,True,True,False,True
id:16415,16415,QC,Camair-co,Cameroon,Y,True,True,25,False,True,False,False,False
id:16475,16475,YI,TUR Avrupa Hava YollarÄ±,Turkey,N,True,True,27,False,True,False,False,False
id:16508,16508,BU,Baikotovitchestrian Airlines ,American Samoa,Y,True,True,41,False,True,False,False,False
id:1654,1654,2G,Cargoitalia,Italy,N,True,True,19,False,False,False,False,False
id:16615,16615,7M,Mongolian International Air Lines ,Mongolia,Y,True,True,8,False,False,False,False,False
id:16624,16624,TW,Tway Airlines,South Korea,Y,True,True,16,False,False,False,False,False
id:1663,1663,BW,Caribbean Airlines,Trinidad and Tobago,Y,True,True,64,True,True,True,False,True
id:16660,16660,W4,AeroWorld ,Russia,Y,True,True,12,False,False,False,False,False
id:1669,1669,V3,Carpatair,Romania,Y,True,True,6,False,False,False,False,False
id:16707,16707,HN,Hankook Airline,South Korea,Y,True,True,6,False,False,False,False,False
id:16725,16725,Y8,Marusya Airways,Russia,Y,True,True,30,False,True,False,False,False
id:16726,16726,7H,Era Alaska,United States,Y,True,True,24,False,True,False,False,False
id:1680,1680,CX,Cathay Pacific,Hong Kong SAR of China,Y,True,True,203,True,True,True,True,True
id:1682,1682,KX,Cayman Airways,Cayman Islands,Y,True,True,23,False,True,False,False,False
id:1683,1683,5J,Cebu Pacific,Philippines,Y,True,True,184,True,True,True,True,True
id:16844,16844,XV,BVI Airways,British Virgin Islands,Y,True,True,6,False,False,False,False,False
id:16882,16882,YQ,Polet Airlines (Priv),Russia,Y,True,True,14,False,False,False,False,False
id:16942,16942,L6,Mauritania Airlines International,Mauritania,Y,True,True,30,False,True,False,False,False
id:16960,16960,AW,Asian Wings Airways,Burma,Y,True,True,6,False,False,False,False,False
id:16963,16963,E5,Air Arabia Egypt,Egypt,Y,True,True,10,False,False,False,False,False
id:17023,17023,Y5,Asia Wings,Kazakhstan,Y,True,True,4,False,False,False,False,False
id:17083,17083,NP,Nile Air,Egypt,Y,True,True,16,False,False,False,False,False
id:17094,17094,DN,Senegal Airlines,Senegal,Y,True,True,32,False,True,False,False,False
id:17095,17095,6I,Fly 6ix,Sierra Leone,Y,True,True,2,False,False,False,False,False
id:17099,17099,S9,Starbow Airlines,Ghana,Y,True,True,8,False,False,False,False,False
id:1729,1729,2Z,Changan Airlines,China,N,True,True,46,False,True,False,False,False
id:17408,17408,8B,BusinessAir,Thailand,Y,True,True,12,False,False,False,False,False
id:1750,1750,C8,Chicago Express,United States,N,True,True,8,False,False,False,False,False
id:17519,17519,YR,SENIC AIRLINES,United States,Y,True,True,2,False,False,False,False,False
id:1756,1756,CI,China Airlines,Taiwan,Y,True,True,154,True,True,True,True,True
id:1758,1758,MU,China Eastern Airlines,China,Y,True,True,1042,True,True,True,True,True
id:1767,1767,CZ,China Southern Airlines,China,Y,True,True,1232,True,True,True,True,True
id:17675,17675,MM,Peach Aviation,Japan,Y,True,True,32,False,True,False,False,False
id:1769,1769,HR,China United Airlines,China,Y,True,True,2,False,False,False,False,False
id:1775,1775,X7,Chitaavia,Russia,N,True,True,2,False,False,False,False,False
id:17885,17885,4O,Interjet (ABC Aerolineas),Mexico,Y,True,True,112,True,True,True,True,True
id:17891,17891,TZ,Scoot,Singapore,Y,True,True,24,False,True,False,False,False
id:179,179,PL,Aeroper,Peru,Y,True,True,14,False,False,False,False,False
id:1790,1790,G3,City Connexion Airlines,Burundi,Y,True,True,332,True,True,True,True,True
id:1792,1792,WX,CityJet,Ireland,Y,True,True,30,False,True,False,False,False
id:18169,18169,P4,Patriot Airways,United States,Y,True,True,21,False,True,False,False,False
id:18232,18232,5Q,BQB Lineas Aereas,Uruguay,Y,True,True,18,False,False,False,False,False
id:1829,1829,MN,Comair,South Africa,Y,True,True,14,False,False,False,False,False
id:1844,1844,KR,Comores Airlines,Comoros,Y,True,True,22,False,True,False,False,False
id:18529,18529,TJ,T.J. Air,United States,Y,True,True,14,False,False,False,False,False
id:18543,18543,SX,SkyWork Airlines ,Switzerland,Y,True,True,24,False,True,False,False,False
id:18553,18553,W2,Maastricht Airlines,Netherlands,Y,True,True,18,False,False,False,False,False
id:1868,1868,DE,Condor Flugdienst,Germany,Y,True,True,311,True,True,True,True,True
id:18700,18700,Q3,SOCHI AIR CHATER,Russia,Y,True,True,2,False,False,False,False,False
id:18732,18732,OD,Malindo Air,Malaysia,Y,True,True,46,False,True,False,False,False
id:18825,18825,Z9,Flightlink Tanzania,Tanzania,Y,True,True,8,False,False,False,False,False
id:18828,18828,I8,IzAvia,Russia,Y,True,True,8,False,False,False,False,False
id:1886,1886,V0,Conviasa,Venezuela,Y,True,True,78,True,True,True,False,True
id:1889,1889,CM,Copa Airlines,Panama,Y,True,True,149,True,True,True,True,True
id:18944,18944,7I,Insel Air (7I/INC) (Priv),Netherlands Antilles,Y,True,True,45,False,True,False,False,False
id:18946,18946,5Z,VivaColombia,Colombia,Y,True,True,2,False,False,False,False,False
id:19016,19016,ZM,Apache Air,United States,Y,True,True,4,False,False,False,False,False
id:1908,1908,SS,Corsairfly,France,Y,True,True,19,False,False,False,False,False
id:1909,1909,XK,Corse-Mediterranee,France,Y,True,True,42,False,True,False,False,False
id:1925,1925,OU,Croatia Airlines,Croatia,Y,True,True,102,True,True,True,True,True
id:19305,19305,QG,Citilink Indonesia,Indonesia,Y,True,True,58,True,True,True,False,True
id:1936,1936,CU,Cubana de Aviación,Cuba,Y,True,True,55,True,True,True,False,True
id:1942,1942,CY,Cyprus Airways,Cyprus,Y,True,True,29,False,True,False,False,False
id:1943,1943,YK,Cyprus Turkish Airlines,Turkey,Y,True,True,34,False,True,False,False,False
id:1946,1946,OK,Czech Airlines,Czech Republic,Y,True,True,101,True,True,True,True,True
id:1954,1954,DX,DAT Danish Air Transport,Denmark,Y,True,True,16,False,False,False,False,False
id:19582,19582,JU,Air Serbia,Serbia,Y,True,True,77,True,True,True,False,True
id:19610,19610,LT,Air Lituanica,Lithuania,Y,True,True,12,False,False,False,False,False
id:1966,1966,D3,Daallo Airlines,Djibouti,Y,True,True,6,False,False,False,False,False
id:19676,19676,RX,Rainbow Air Polynesia,United States,Y,True,True,20,False,True,False,False,False
id:197,197,J2,Azerbaijan Airlines,Azerbaijan,Y,True,True,50,True,True,True,False,True
id:19804,19804,A2,All America,United States,Y,True,True,10,False,False,False,False,False
id:19810,19810,9N,Regional Air Iceland,Iceland,Y,True,True,16,False,False,False,False,False
id:19944,19944,I4,International AirLink,Jamaica,Y,True,True,2,False,False,False,False,False
id:20004,20004,9V,Volotea Costa Rica,Costa Rica,Y,True,True,31,False,True,False,False,False
id:20047,20047,E2,Eagle Atlantic Airlines,Ghana,Y,True,True,12,False,False,False,False,False
id:2009,2009,DL,Delta Air Lines,United States,Y,True,True,1146,True,True,True,True,True
id:20160,20160,E8,City Airways,Thailand,Y,True,True,6,False,False,False,False,False
id:20270,20270,D2,Severstal Air Company,Russia,Y,True,True,18,False,False,False,False,False
id:2056,2056,KA,Dragonair,DRAGON,Y,True,True,92,True,True,True,False,True
id:20565,20565,4B,Boutique Air (Priv),United States,Y,True,True,2,False,False,False,False,False
id:20577,20577,V7,VOLOTEA Airways,Spain,Y,True,True,136,True,True,True,True,True
id:2058,2058,KB,Druk Air,Bhutan,Y,True,True,20,False,True,False,False,False
id:20686,20686,Q7,SkyBahamas Airlines,Bahamas,Y,True,True,10,False,False,False,False,False
id:20710,20710,3M,Silver Airways (3M),United States,Y,True,True,67,True,True,True,False,True
id:2091,2091,BR,EVA Air,Taiwan,Y,True,True,102,True,True,True,True,True
id:2094,2094,H7,Eagle Air,Uganda,Y,True,True,2,False,False,False,False,False
id:20963,20963,K3,Atlantic Air Cargo,United States,N,True,True,5,False,False,False,False,False
id:20976,20976,W3,World Scale Airlines,United States,Y,True,True,66,True,True,True,False,True
id:21,21,ZI,Aigle Azur,France,Y,True,True,64,True,True,True,False,True
id:21012,21012,F5,Fly One,Moldova,Y,True,True,5,False,False,False,False,False
id:2104,2104,QU,East African,Uganda,Y,True,True,4,False,False,False,False,False
id:2117,2117,T3,Eastern Airways,United Kingdom,Y,True,True,30,False,True,False,False,False
id:214,214,AB,Air Berlin,Germany,Y,True,True,682,True,True,True,True,True
id:2143,2143,MS,Egyptair,Egypt,Y,True,True,195,True,True,True,True,True
id:2150,2150,LY,El Al Israel Airlines,Israel,Y,True,True,73,True,True,True,False,True
id:218,218,AI,Air India Limited,India,Y,True,True,306,True,True,True,True,True
id:2183,2183,EK,Emirates,United Arab Emirates,Y,True,True,269,True,True,True,True,True
id:2193,2193,EU,Empresa Ecuatoriana De Aviacion,Ecuador,Y,True,True,76,True,True,True,False,True
id:220,220,ZB,Air Bourbon,Reunion,Y,True,True,210,True,True,True,True,True
id:221,221,CC,Air Atlanta Icelandic,Iceland,Y,True,True,13,False,False,False,False,False
id:2217,2217,E7,Estafeta Carga Aerea,Mexico,N,True,True,4,False,False,False,False,False
id:2218,2218,OV,Estonian Air,Estonia,Y,True,True,26,False,True,False,False,False
id:2220,2220,ET,Ethiopian Airlines,Ethiopia,Y,True,True,216,True,True,True,True,True
id:2222,2222,EY,Etihad Airways,United Arab Emirates,Y,True,True,174,True,True,True,True,True
id:2226,2226,RZ,Euro Exec Express,Sweden,Y,True,True,17,False,False,False,False,False
id:2245,2245,K2,Eurolot,Poland,Y,True,True,36,False,True,False,False,False
id:225,225,TN,Air Tahiti Nui,France,Y,True,True,11,False,False,False,False,False
id:2260,2260,EW,Eurowings,Germany,Y,True,True,1,False,False,False,False,False
id:2264,2264,JN,Excel Airways,United Kingdom,Y,True,True,8,False,False,False,False,False
id:2293,2293,EO,Express One International,United States,Y,True,True,12,False,False,False,False,False
id:2297,2297,U2,easyJet,United Kingdom,Y,True,True,1130,True,True,True,True,True
id:231,231,IZ,Arkia Israel Airlines,Israel,Y,True,True,20,False,True,False,False,False
id:2324,2324,EF,Far Eastern Air Transport,Taiwan,Y,True,True,8,False,False,False,False,False
id:2350,2350,AY,Finnair,Finland,Y,True,True,174,True,True,True,True,True
id:2353,2353,FY,Firefly,Malaysia,Y,True,True,40,False,True,False,False,False
id:2354,2354,7F,First Air,Canada,Y,True,True,72,True,True,True,False,True
id:2395,2395,B5,Flightline,United Kingdom,Y,True,True,26,False,True,False,False,False
id:24,24,AA,American Airlines,United States,Y,True,True,1265,True,True,True,True,True
id:240,240,AP,Air One,Italy,Y,True,True,76,True,True,True,False,True
id:2409,2409,F2,Fly Air,Turkey,N,True,True,14,False,False,False,False,False
id:241,241,S2,Air Sahara,India,Y,True,True,1,False,False,False,False,False
id:2417,2417,D7,AirAsia X,Malaysia,Y,True,True,36,False,True,False,False,False
id:2418,2418,TE,FlyLal,Lithuania,Y,True,True,11,False,False,False,False,False
id:2419,2419,LF,FlyNordic,Sweden,Y,True,True,4,False,False,False,False,False
id:242,242,KM,Air Malta,Malta,Y,True,True,80,True,True,True,False,True
id:2420,2420,F7,Flybaboo,Switzerland,Y,True,True,34,False,True,False,False,False
id:2421,2421,BE,Flybe,United Kingdom,Y,True,True,213,True,True,True,True,True
id:2439,2439,VY,Formosa Airlines,Taiwan,Y,True,True,384,True,True,True,True,True
id:246,246,M6,Amerijet International,United States,N,True,True,7,False,False,False,False,False
id:2468,2468,F9,Frontier Airlines,United States,Y,True,True,192,True,True,True,True,True
id:2520,2520,GA,Garuda Indonesia,Indonesia,Y,True,True,224,True,True,True,True,True
id:2524,2524,4G,Gazpromavia,Russia,Y,True,True,20,False,True,False,False,False
id:2538,2538,A9,Georgian Airways,Georgia,Y,True,True,18,False,False,False,False,False
id:2541,2541,QB,Georgian National Airlines,Georgia,Y,True,True,4,False,False,False,False,False
id:2547,2547,ST,Germania,Germany,Y,True,True,96,True,True,True,False,True
id:2548,2548,4U,Germanwings,Germany,Y,True,True,470,True,True,True,True,True
id:2575,2575,G8,Go Air,India,Y,True,True,77,True,True,True,False,True
id:2585,2585,DC,Golden Air,Sweden,Y,True,True,18,False,False,False,False,False
id:2607,2607,ZK,Great Lakes Airlines,United States,Y,True,True,53,True,True,True,False,True
id:2622,2622,TA,Grupo TACA,Costa Rica,Y,True,True,6,False,False,False,False,False
id:2638,2638,GF,Gulf Air Bahrain,Bahrain,Y,True,True,75,True,True,True,False,True
id:2660,2660,HU,Hainan Airlines,China,Y,True,True,523,True,True,True,True,True
id:2681,2681,X3,TUIfly,Germany,Y,True,True,226,True,True,True,True,True
id:2682,2682,HF,Hapagfly,Germany,Y,True,True,25,False,True,False,False,False
id:2684,2684,HQ,Harmony Airways,Canada,N,True,True,88,True,True,True,False,True
id:2688,2688,HA,Hawaiian Airlines,United States,Y,True,True,70,True,True,True,False,True
id:2692,2692,BH,Hawkair,Canada,Y,True,True,8,False,False,False,False,False
id:2731,2731,JB,Helijet,Canada,Y,True,True,2,False,False,False,False,False
id:2748,2748,HW,Hello,Switzerland,Y,True,True,10,False,False,False,False,False
id:2750,2750,2L,Helvetic Airways,Switzerland,Y,True,True,14,False,False,False,False,False
id:2757,2757,UD,Hex'Air,France,Y,True,True,2,False,False,False,False,False
id:2765,2765,HD,Hokkaido International Airlines,Japan,Y,True,True,26,False,True,False,False,False
id:2773,2773,HX,Hong Kong Airlines,Hong Kong SAR of China,Y,True,True,49,False,True,False,False,False
id:2774,2774,UO,Hong Kong Express Airways,Hong Kong SAR of China,Y,True,True,20,False,True,False,False,False
id:28,28,OZ,Asiana Airlines,Republic of Korea,Y,True,True,227,True,True,True,True,True
id:2822,2822,IB,Iberia Airlines,Spain,Y,True,True,177,True,True,True,True,True
id:2825,2825,TY,Iberworld,Spain,Y,True,True,23,False,True,False,False,False
id:2826,2826,FW,Ibex Airlines,Japan,Y,True,True,32,False,True,False,False,False
id:2835,2835,FI,Icelandair,Iceland,Y,True,True,53,True,True,True,False,True
id:2850,2850,6E,IndiGo Airlines,India,Y,True,True,199,True,True,True,True,True
id:2857,2857,QZ,Indonesia AirAsia,Indonesia,Y,True,True,62,True,True,True,False,True
id:2881,2881,D6,Interair South Africa,South Africa,Y,True,True,2,False,False,False,False,False
id:2896,2896,ID,Interlink Airlines,South Africa,Y,True,True,16,False,False,False,False,False
id:29,29,4K,Askari Aviation,Pakistan,Y,True,True,2,False,False,False,False,False
id:2916,2916,3L,Intersky,Austria,Y,True,True,26,False,True,False,False,False
id:2922,2922,IR,Iran Air,Iran,Y,True,True,182,True,True,True,True,True
id:2923,2923,EP,Iran Aseman Airlines,Iran,Y,True,True,169,True,True,True,True,True
id:2942,2942,8L,Cargo Plus Aviation,United Arab Emirates,Y,True,True,130,True,True,True,True,True
id:2951,2951,IOS,Isles of Scilly Skybus,United Kingdom,N,True,True,72,True,True,True,False,True
id:2954,2954,6H,Israir,Israel,Y,True,True,12,False,False,False,False,False
id:2987,2987,JL,Japan Airlines,Japan,Y,True,True,186,True,True,True,True,True
id:2989,2989,EG,Japan Asia Airways,Japan,Y,True,True,9,False,False,False,False,False
id:2990,2990,NU,Japan Transocean Air,Japan,Y,True,True,22,False,True,False,False,False
id:2993,2993,J9,Jazeera Airways,Kuwait,Y,True,True,30,False,True,False,False,False
id:2994,2994,7C,Jeju Air,Republic of Korea,Y,True,True,33,False,True,False,False,False
id:3000,3000,9W,Jet Airways,India,Y,True,True,157,True,True,True,True,True
id:3021,3021,3K,Jetstar Asia Airways,Singapore,Y,True,True,36,False,True,False,False,False
id:3026,3026,LS,Jet2.com,United Kingdom,Y,True,True,302,True,True,True,True,True
id:3029,3029,B6,JetBlue Airways,United States,Y,True,True,399,True,True,True,True,True
id:3052,3052,JQ,Jetstar Airways,Australia,Y,True,True,163,True,True,True,True,True
id:3081,3081,HO,Juneyao Airlines,China,Y,True,True,145,True,True,True,True,True
id:3090,3090,KL,KLM Royal Dutch Airlines,Netherlands,Y,True,True,210,True,True,True,True,True
id:3097,3097,RQ,Kam Air,Afghanistan,Y,True,True,5,False,False,False,False,False
id:312,312,BM,Air Sicilia,Italy,Y,True,True,34,False,True,False,False,False
id:3123,3123,M5,Kenmore Air,United States,Y,True,True,5,False,False,False,False,False
id:3126,3126,KQ,Kenya Airways,Kenya,Y,True,True,125,True,True,True,True,True
id:3148,3148,Y9,Kish Air,Iran,Y,True,True,21,False,True,False,False,False
id:316,316,NX,Air Macau,Macao,Y,True,True,52,True,True,True,False,True
id:3163,3163,KE,Korean Air,Republic of Korea,Y,True,True,278,True,True,True,True,True
id:3179,3179,KU,Kuwait Airways,Kuwait,Y,True,True,79,True,True,True,False,True
id:319,319,HM,Air Seychelles,Seychelles,Y,True,True,2,False,False,False,False,False
id:3197,3197,LR,LACSA,Costa Rica,Y,True,True,2,False,False,False,False,False
id:32,32,8U,Afriqiyah Airways,Libya,Y,True,True,36,False,True,False,False,False
id:3200,3200,LA,LAN Airlines,Chile,Y,True,True,125,True,True,True,True,True
id:3201,3201,4M,LAN Argentina,Argentina,Y,True,True,6,False,False,False,False,False
id:321,321,AM,AeroMéxico,Mexico,Y,True,True,161,True,True,True,True,True
id:3210,3210,LO,LOT Polish Airlines,Poland,Y,True,True,96,True,True,True,False,True
id:3233,3233,QV,Lao Airlines,Lao Peoples Democratic Republic,Y,True,True,42,False,True,False,False,False
id:324,324,NH,All Nippon Airways,Japan,Y,True,True,297,True,True,True,True,True
